contraction,extension
a'ight,alright
ain't,am not
ain't,are not
arencha,aren't you
arencha ,are not you 
bout ,about
boy's,boy has
boy's,boy is
can't,cannot
cap'n ,captain
cause ,because
cept ,except
could've,could have
couldn't,could not
couldn't've,could not have
cuppa,cup of
didn't,did not
doesn't,does not
don't,do not
dunno ,don't know
dunno ,do not know
e'en ,even
e'er ,ever
em ,them
everybody's,everybody has
everyone's,everyone is
everything's,everything has
everything's,everything is
finna ,fixing to
fo'c'sle ,forecastle
gainst ,against
g'day ,good day
gimme ,give me
girl's,girl has
girl's,girl is
giv'n ,given
gi'z ,give us
gonna ,going to
gon't ,go not 
gotta ,got to
guy's,guy has
guy's,guy is
hadn't,had not
had've,had have
hasn't,has not
haven't,have not
he'd,he had
he'd,he would
he'll,he will
he'll,he shall
helluva ,hell of a
he's,he has
he's,he is
here's,here is
how'd ,how did
how'd ,how would
howdy ,how do you do
howdy ,how do you fare
how'll,how will
how'll,how shall
how're,how are
how's,how has
how's,how is
how's,how does
I'd,I had
I'd,I would
I'd've,I would have
I'd'nt,I would not
I'd'nt've,I would not have
If'n ,If and when
I'll,I shall
I'll,I will
I'm,I am
Imma ,I am going to
Imma ,I am about to
innit ,isn't it
innit ,ain't it
Ion ,I don't
Ion ,I do not
I've,I have
isn't,is not
it'd,it would
it'll,it shall
it'll,it will
it's,it is
it's,it has
Idunno ,I don't know
kinda ,kind of
let's,let us
loven't ,love not 
ma'am,madam
mayn't,may not
may've,may have
methinks ,I think
mightn't,might not
might've,might have
mine's,mine is
mustn't,must not
mustn't've,must not have
must've,must have
neath ,beneath
needn't,need not
nal ,and all
ne'er ,never
o'clock,of the clock
o'er,over
ol',old
ought've,ought have
oughtn't,ought not
oughtn't've,ought not have
round,around
she'd,she had
she'd,she would
she'll,she will
she'll,she shall
she's,she has
she's,she is
should've,should have
shouldn't,should not
shouldn't've ,should not have
somebody's,somebody has
somebody's,somebody is
someone's,someone is
someone's,someone has
something's,something has
something's,something is
so're ,so are 
so's ,so is
so's ,so has
so've ,so have
that'll,that shall
that'll,that will
that're ,that are
that's,that has
that's,that is
that'd,that had
that'd,that would
there'd,there had
there'd,there would
there'll,there shall
there'll,there will
there're,there are
there's,there has
there's,there is
these're,these are
these've,these have
they'd,they had
they'd,they would
they'd've,they would have
they'd've,they could have
they'd've,they should have
they'll,they shall
they'll,they will
they're,they are
they're,they were
they've,they have
this's,this has
this's,this is
those're ,those are
those've ,those have
thout ,without
til ,until
to've ,to have
tryna ,trying to
twas ,it was
tween ,between
twere ,it were
w'at,we at
wanna,want to
wasn't,was not
we'd,we had
we'd,we would
we'd,we did
we'd've,we would have
we'll,we shall
we'll,we will
we're,we are
we've,we have
weren't,were not
what'd,what did
what'll,what shall
what'll,what will
what're,what are
what're,what were
what's,what has
what's,what is
what's,what does
what've,what have
when's,when has
when's,when is
where'd,where did
where'll,where shall
where'll,where will
where're,where are
where's,where has
where's,where is
where's,where does
where've,where have
which'd,which had
which'd,which would
which'll,which will
which'll,which shall
which're,which are
which's,which is
which's,which has
which've,which have
who'd,who would
who'd,who had
who'd,who did
who'd've,who would have
who'll,who will
who'll,who shall
who're,who are
who's,who has
who's,who is
who's,who does
who've,who have
why'd,why did
why're,why are
why's,why has
why's,why is
why's,why does
won't,will not
would've,would have
wouldn't,would not
wouldn't've,would not have
y'ain't,you are not
y'ain't,you have not
y'ain't,you did not 
y'all,you all
y'all'd've,you all would have
y'all'd'n't've,you all would not have
y'all're,you all are
y'all'ren't,you all are not
y'at ,you at
yes'm,yes madam
y'know,you know
yessir,yes sir
you'd,you had
you'd,you would
you'll,you shall
you'll,you will
you're,you are
you've,you have
when'd,when did
arencha,are not you
aren't,are not
cuz ,because
daresn't,dare not
dasn't,dare not
I'm'o ,I am going to
shan',shall not
shan't,shall not
tis ,it is
whatcha,what are you doing
willn't,will not
wonnot,will not
